"PLAN_ID","PLAN_DESC","labelSpanish","labelEnglish"
"5101","GRADO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS","Grado ADE","Grado ADE"
"5011","GRADO EN ARQUITECTURA","G. Arquitectura","G. Arquitectura"
"5071","GRADO EN INGENIERIA ELECTRÓNICA INDUSTRIAL Y AUTOMÁTICA","G. I. Electrónica Ind.","G. I. Electrónica Ind."
"5171","GRADO EN INGENIERÍA DE RECURSOS MINERALES Y ENERGÍA","G. I. Rec. Minerales y Energía","G. I. Rec. Minerales y Energía"
"5141","GRADO EN INGENIERÍA DE LA HORTOFRUTICULTURA Y JARDINERÍA","G. I. Horto. y Jard.","G. I. Horto. y Jard."
"5131","GRADO EN ARQUITECTURA NAVAL E INGENIERÍA DE SISTEMAS MARINOS","G. Arq. Naval e I. S. Marinos","G. Arq. Naval e I. S. Marinos"
"5061","GRADO EN INGENIERÍA ELÉCTRICA","G. I. Eléctrica","G. I. Eléctrica"
"5021","GRADO EN INGENIERÍA DE EDIFICACIÓN","G.I. Edificación","G.I. Edificación"
"5051","GRADO EN INGENIERÍA TELEMÁTICA","G. I. Telemática","G. I. Telemática"
"5161","GRADO EN INGENIERÍA CIVIL","G. I. Civil","G. I. Civil"
"5041","GRADO EN INGENIERÍA EN SISTEMAS DE TELECOMUNICACIÓN","G. I. Sists. Telecs.","G. I. Sists. Telecs."
"5081","GRADO EN INGENIERÍA MECÁNICA","G. I. Mecánica","G. I. Mecánica"
"5181","GRADO EM INGENIERÍA AGROALIMENTARIA Y DE SISTEMAS BIOLÓGICOS","G. I. Agroalim. Sists. Bio.","G. I. Agroalim. Sists. Bio."
"5121","GRADO EN INGENIERÍA EN TECNOLOGÍAS INDUSTRIALES","G. I. Tecns. Ind.","G. I. Tecns. Ind."
"5151","GRADO EN INGENIERÍA DE LAS INDUSTRIAS AGROALIMENTARIAS","G. I. Inds. Agroalimentarias","G. I. Inds. Agroalimentarias"
"5091","GRADO EN INGENIERÍA QUÍMICA INDUSTRIAL","G. I. Química Industrial","G. I. Química Industrial"
"5031","GRADO EN TURISMO","G. Turísmo","G. Turísmo"
"5111","GRADO EN INGENIERÍA EN ORGANIZACIÓN INDUSTRIAL (BOE 21-12-2012)","G. I. Organización Ind.","G. I. Organización Ind."
"1412","INGENIERO INDUSTRIAL (B.O.E. 24/08/2000)","I. Industrial","I. Industrial"
"1011","INGENIERO DE ORGANIZACIÓN INDUSTRIAL (B.O.E. 22/08/2000)","I. Organización Ind.","I. Organización Ind."
"1091","INGENIERO NAVAL Y OCEANICO","I. Naval","I. Naval"
"1021","INGENIERO DE TELECOMUNICACIÓN (B.O.E 22/08/2000)","I. Telecomunicación","I. Telecomunicación"
"1041","LICENCIADO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS (B.O.E. 22/8/2000)","ADE","ADE"
"1422","INGENIERO AGRÓNOMO (B.O.E. 24/08/2000)","I. Agrónomo","I. Agrónomo"
"2114","MASTER EN ENERGIAS RENOVABLES","Máster Energías Renovables","Máster Energías Renovables"
"2111","MÁSTER UNIVERSITARIO EN INGENIERÍA DE TELECOMUNICACIÓN","Máster Ing. Telecomunc.","Máster Ing. Telecomunc."
"2082","Máster en Gestión y Dirección de Empresas e Instituciones Turísticas","Máster Gest. Direc. Emp. Turist.","Máster Gest. Direc. Emp. Turist."
"2131","MÁSTER UNIVERSITARIO EN INGENIERÍA DE CAMINOS, CANALES Y PUERTOS","Máster Ing. Cam. Can. y Puert.","Máster Ing. Cam. Can. y Puert."
"2121","MÁSTER UNIVERSITARIO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS (MBA)","Máster Adm. Direc. Emp.","Máster Adm. Direc. Emp."
"2032","MÁSTER UNIVERSITARIO EN TÉCNICAS AVANZADAS EN INVESTIGACIÓN Y DESARROLLO AG","Máster Tecn. Avanz. I+D Agr.","Máster Tecn. Avanz. I+D Agr."
"2001","MÁSTER UNIVERSITARIO EN PATRIMONIO ARQUITECTÓNICO","Máster Patrimonio Arquit.","Máster Patrimonio Arquit."
"2108","MÁSTER INTERUNIVERSITARIO EN CONTABILIDAD Y FINANZAS CORPORATIVAS","Máster Cont. Finanzas","Máster Cont. Finanzas"
"2311","MÁSTER INTERUNIVERSITARIO EN COMUNICACIÓN MÓVIL Y CONTENIDO DIGITAL","Máster Com. Móvil y Cont. Digital","Máster Com. Móvil y Cont. Digital"
"2261","MASTER EN INGENIERÍA AMBIENTAL Y PROCESOS SOSTENIBLES","Máster Ing. Ambiental","Máster Ing. Ambiental"
"2231","MASTER EN INGENIERIA INDUSTRIAL","Máster Ing. Industrial","Máster Ing. Industrial"
"2751","MASTER EN PREVENCION DE RIESGOS LABORALES","Máster Prev. Riesgos Lab.","Máster Prev. Riesgos Lab."
"2106","MÁSTER EN INGENIERÍA AMBIENTAL Y DE PROCESOS QUÍMICOS Y BIOTECNOLÓGICOS","Máster Ing. Ambiental","Máster Ing. Ambiental"
"2271","MÁSTER UNIVERSITARIO EN CIENCIA Y TECNOLOGÍA DE EDIFICACIÓN EN ARQUITECTURA","Máster CYTEA","Máster CYTEA"
"2291","MÁSTER UNIVERSITARIO EN INGENIERÍA AGRONÓMICA","Máster I. Agronómica","Máster I. Agronómica"
"2107","MÁSTER EN INGENIERÍA DEL AGUA Y DEL TERRENO (2009)","Máster Ing. Agua y Terreno","Máster Ing. Agua y Terreno"
"2011","POSGRADO: INGENIERÍA AMBIENTAL Y DE PROCESOS QUÍMICOS Y BIOTECNOLÓGICOS","Posgrado: I. Ambiental y de Procesos","Posgrado: I. Ambiental y de Procesos"
"2281","MASTER UNIVERSITARIO EN CIENCIA Y TECNOLOGIA DEL AGUA Y DEL TERRENO","Máster C.  Tecn. Agua y Terreno","Máster C.  Tecn. Agua y Terreno"
"2171","MÁSTER UNIVERSITARIO EN ORIENTACIÓN E INTERMEDIACIÓN LABORAL","Máster Orient. Intermed. Lab.","Máster Orient. Intermed. Lab."
